Morse_Chain_Id,Shannon_Service_id
A0CA,tia-da
A0CB,tia-consensus
A0CC,tia-da-testnet
A0CD,tia-consensus-testnet
F000,pocket
F001,arb-one
F002,arb-sepolia-testnet
F003,avax
F004,avax-dfk
F005,base
F006,base-sepolia-testnet
F007,bitcoin
F008,blast
F009,bsc
F00A,boba
F00B,celo
F00C,eth
F00D,eth-holesky-testnet
F00E,eth-sepolia-testnet
F00F,evmos
F010,fantom
F011,fraxtal
F012,fuse
F013,gnosis
F014,harmony
F015,iotex
F016,kaia
F017,kava
F018,metis
F019,moonbeam
F01A,moonriver
F01B,near
F01C,oasys
F01D,op
F01E,op-sepolia-testnet
F01F,opbnb
F020,osmosis
F021,poly
F022,poly-amoy-testnet
F023,radix
F024,scroll
F025,solana
F026,sui
F027,taiko
F028,taiko-hekla-testnet
F029,poly-zkevm
F02A,zklink-nova
F02B,zksync-era
F02D,sonic
F02E,tron
F030,linea
F032,ink
F033,mantle
F034,sei
F035,bera
F036,xrplevm-testnet
